"","Name","Party","NetChg_90d","App(current)","Disapp(current)","rec.StrA","rec.SomA","rec.SomD","rec.StrD","rec.DK","Peak","Bottom","MaxNA","MinNA"
"1","Gov. Doug Ducey  (AZ)","R",-46.5457395365371,41.8369851007888,47.95574057844,13.6078001752848,28.2291849255039,23.1538124452235,24.8019281332165,9.90929009640666,2020-05-05,2020-07-18,37.790425012213,-6.32640067911714
"2","Gov. Gregory Abbott  (TX)","R",-39.2909473970511,47.8695890410959,38.0299543378995,17.533698630137,30.3358904109589,19.1839269406393,18.8460273972603,14.3178082191781,2020-04-18,2020-07-19,40.0779647900948,9.83963470319635
"3","Gov. Tim Walz  (MN)","D",-36.0778604465183,60.5992474129821,30.7064910630292,24.5512699905927,36.0479774223895,12.0507996237065,18.6556914393227,8.73000940733772,2020-04-22,2020-06-25,54.950234741784,26.0808888888889
"4","Sen. Kevin Cramer  (R - ND)","R",-33.4954022988506,36.151724137931,40.9172413793103,9.63448275862069,26.5172413793103,12.0896551724138,28.8275862068966,22.9862068965517,2020-04-21,2020-05-19,20.1933333333333,-16.7448275862069
"5","Gov. Mike DeWine  (OH)","R",-29.4004720969529,69.0521500457457,21.0436108569686,27.3513266239707,41.7008234217749,13.6639219274169,7.37968892955169,9.81732235437633,2020-04-28,2020-03-22,69.5456198848136,36.873666343356
"6","Gov. Ron DeSantis  (FL)","R",-25.9112225703584,43.5635618932039,44.3247876213592,17.7401395631068,25.8234223300971,16.7682038834951,27.5565837378641,12.1770327669903,2020-03-27,2020-07-18,37.7831935203934,-0.840107190710135
"7","Gov. Michelle Lujan Grisham  (NM)","D",-24.7484284965951,50.0036231884058,40.5380434782609,28.2409420289855,21.7626811594203,14.3369565217391,26.2010869565217,9.59782608695652,2020-04-19,2020-03-22,31.6583850931677,3.71287128712871
"8","Sen. Dan Sullivan  (R - AK)","R",-22.161744966443,37.255033557047,38.4161073825503,15.2818791946309,21.9731543624161,16.9328859060403,21.4832214765101,24.0671140939597,2020-05-11,2020-07-08,31.3208955223881,-3.97272727272727
"9","Sen. John Hoeven  (R - ND)","R",-21.8144827586207,50.9103448275862,24.1034482758621,17.151724137931,33.7586206896552,12.0689655172414,12.0344827586207,25.1103448275862,2020-05-08,2020-05-25,45.5669291338583,17.3021582733813
"10","Gov. Brian Kemp  (GA)","R",-20.9199384634771,46.426576217079,38.488427773344,16.8252194732642,29.6013567438148,15.7669592976856,22.7214684756584,15.0203511572227,2020-04-03,2020-05-08,32.0884495317378,-5.67209775967414
"11","Gov. Henry McMaster  (SC)","R",-20.9046320954327,49.298127340824,35.8037453183521,14.6022471910112,34.6958801498127,17.7565543071161,18.047191011236,15.0576779026217,2020-03-28,2020-07-19,38.0177865612648,13.4943820224719
"12","Gov. Roy Cooper III  (NC)","D",-20.6780590148064,50.2809619238477,34.9430861723447,20.6492985971944,29.6316633266533,14.4781563126253,20.4649298597194,14.6593186372745,2020-05-09,2020-07-19,36.4221347331584,15.337875751503
