"","question_id","series_date","total_n","Somewhat.Approve","Strongly.Approve","Somewhat.Disapprove","Strongly.Disapprove","Don.t.Know...No.Opinion"
"620251","LEG4_John_Moolenaar","2018-01-01T00:00:00.000Z",14,36,4,16,5,38
"620252","LEG4_John_Moolenaar","2018-01-02T00:00:00.000Z",12,44,0,18,24,14
"620253","LEG4_John_Moolenaar","2018-01-03T00:00:00.000Z",23,29,0,10,11,50
"620254","LEG4_John_Moolenaar","2018-01-04T00:00:00.000Z",13,13,0,13,5,69
"620255","LEG4_John_Moolenaar","2018-01-05T00:00:00.000Z",15,11,8,31,20,30
"620256","LEG4_John_Moolenaar","2018-01-06T00:00:00.000Z",15,14,4,11,8,63
"620257","LEG4_John_Moolenaar","2018-01-07T00:00:00.000Z",8,38,0,14,0,48
"620258","LEG4_John_Moolenaar","2018-01-08T00:00:00.000Z",11,26,0,14,8,52
"620259","LEG4_John_Moolenaar","2018-01-09T00:00:00.000Z",8,28,8,12,7,44
"620260","LEG4_John_Moolenaar","2018-01-10T00:00:00.000Z",15,18,4,10,12,56
"620261","LEG4_John_Moolenaar","2018-01-11T00:00:00.000Z",12,17,0,36,7,41
"620262","LEG4_John_Moolenaar","2018-01-12T00:00:00.000Z",13,31,8,23,6,31
"620263","LEG4_John_Moolenaar","2018-01-13T00:00:00.000Z",17,18,10,23,0,49
"620264","LEG4_John_Moolenaar","2018-01-14T00:00:00.000Z",16,7,0,18,8,67
"620265","LEG4_John_Moolenaar","2018-01-15T00:00:00.000Z",16,5,13,7,24,51
"620266","LEG4_John_Moolenaar","2018-01-16T00:00:00.000Z",11,45,12,12,7,24
"620267","LEG4_John_Moolenaar","2018-01-17T00:00:00.000Z",17,12,8,8,3,70
"620268","LEG4_John_Moolenaar","2018-01-18T00:00:00.000Z",15,19,0,22,18,41
"620269","LEG4_John_Moolenaar","2018-01-19T00:00:00.000Z",12,37,7,15,0,41
"620270","LEG4_John_Moolenaar","2018-01-20T00:00:00.000Z",13,25,8,12,19,37
"620271","LEG4_John_Moolenaar","2018-01-21T00:00:00.000Z",9,20,7,0,22,51
"620272","LEG4_John_Moolenaar","2018-01-22T00:00:00.000Z",17,31,3,11,28,27
"620273","LEG4_John_Moolenaar","2018-01-23T00:00:00.000Z",11,40,0,13,0,47
"620274","LEG4_John_Moolenaar","2018-01-24T00:00:00.000Z",7,25,20,0,0,55
"620275","LEG4_John_Moolenaar","2018-01-25T00:00:00.000Z",5,12,0,23,12,53
"620276","LEG4_John_Moolenaar","2018-01-26T00:00:00.000Z",11,26,0,16,0,59
"620277","LEG4_John_Moolenaar","2018-01-27T00:00:00.000Z",5,37,12,0,0,51
"620278","LEG4_John_Moolenaar","2018-01-28T00:00:00.000Z",6,10,19,0,0,71
"620279","LEG4_John_Moolenaar","2018-01-29T00:00:00.000Z",12,62,9,5,9,15
"620280","LEG4_John_Moolenaar","2018-01-30T00:00:00.000Z",7,10,0,0,48,42
"620281","LEG4_John_Moolenaar","2018-01-31T00:00:00.000Z",7,9,18,48,0,26
"620282","LEG4_John_Moolenaar","2018-02-01T00:00:00.000Z",14,19,17,18,5,40
"620283","LEG4_John_Moolenaar","2018-02-02T00:00:00.000Z",11,42,0,11,28,19
"620284","LEG4_John_Moolenaar","2018-02-03T00:00:00.000Z",8,0,0,45,9,46
"620285","LEG4_John_Moolenaar","2018-02-04T00:00:00.000Z",9,11,11,35,8,35
"620286","LEG4_John_Moolenaar","2018-02-05T00:00:00.000Z",15,11,6,16,18,50
"620287","LEG4_John_Moolenaar","2018-02-06T00:00:00.000Z",11,10,0,16,11,64
"620288","LEG4_John_Moolenaar","2018-02-07T00:00:00.000Z",9,38,0,14,21,27
"620289","LEG4_John_Moolenaar","2018-02-08T00:00:00.000Z",8,10,0,38,0,52
"620290","LEG4_John_Moolenaar","2018-02-09T00:00:00.000Z",9,37,5,9,0,48
"620291","LEG4_John_Moolenaar","2018-02-10T00:00:00.000Z",13,27,10,20,18,24
"620292","LEG4_John_Moolenaar","2018-02-11T00:00:00.000Z",5,0,0,24,29,46
"620293","LEG4_John_Moolenaar","2018-02-12T00:00:00.000Z",8,30,14,13,8,35
"620294","LEG4_John_Moolenaar","2018-02-13T00:00:00.000Z",7,27,0,14,13,46
"620295","LEG4_John_Moolenaar","2018-02-14T00:00:00.000Z",14,26,0,8,23,43
"620296","LEG4_John_Moolenaar","2018-02-15T00:00:00.000Z",9,13,6,28,20,33
"620297","LEG4_John_Moolenaar","2018-02-16T00:00:00.000Z",9,27,8,0,13,52
"620298","LEG4_John_Moolenaar","2018-02-17T00:00:00.000Z",15,8,0,11,32,48
"620299","LEG4_John_Moolenaar","2018-02-18T00:00:00.000Z",6,20,0,29,10,41
"620300","LEG4_John_Moolenaar","2018-02-19T00:00:00.000Z",13,16,5,34,13,32
"620301","LEG4_John_Moolenaar","2018-02-20T00:00:00.000Z",10,44,18,27,0,11
"620302","LEG4_John_Moolenaar","2018-02-21T00:00:00.000Z",8,32,0,0,17,51
"620303","LEG4_John_Moolenaar","2018-02-22T00:00:00.000Z",10,42,0,6,12,40
"620304","LEG4_John_Moolenaar","2018-02-23T00:00:00.000Z",6,35,0,18,47,0
"620305","LEG4_John_Moolenaar","2018-02-24T00:00:00.000Z",9,43,0,7,0,50
"620306","LEG4_John_Moolenaar","2018-02-25T00:00:00.000Z",10,19,5,11,0,65
"620307","LEG4_John_Moolenaar","2018-02-26T00:00:00.000Z",10,20,0,6,22,52
"620308","LEG4_John_Moolenaar","2018-02-27T00:00:00.000Z",10,20,0,6,36,38
"620309","LEG4_John_Moolenaar","2018-02-28T00:00:00.000Z",6,30,8,28,0,34
"620310","LEG4_John_Moolenaar","2018-03-01T00:00:00.000Z",12,12,0,21,21,46
"620311","LEG4_John_Moolenaar","2018-03-02T00:00:00.000Z",9,28,7,8,16,42
"620312","LEG4_John_Moolenaar","2018-03-03T00:00:00.000Z",9,13,16,12,47,13
"620313","LEG4_John_Moolenaar","2018-03-04T00:00:00.000Z",12,26,0,18,6,50
"620314","LEG4_John_Moolenaar","2018-03-05T00:00:00.000Z",12,31,5,16,0,48
"620315","LEG4_John_Moolenaar","2018-03-06T00:00:00.000Z",12,26,14,5,0,56
"620316","LEG4_John_Moolenaar","2018-03-07T00:00:00.000Z",9,30,16,0,15,39
"620317","LEG4_John_Moolenaar","2018-03-08T00:00:00.000Z",10,38,0,5,7,50
"620318","LEG4_John_Moolenaar","2018-03-09T00:00:00.000Z",13,22,0,4,5,69
"620319","LEG4_John_Moolenaar","2018-03-10T00:00:00.000Z",9,0,16,26,24,33
"620320","LEG4_John_Moolenaar","2018-03-11T00:00:00.000Z",16,22,0,43,0,35
"620321","LEG4_John_Moolenaar","2018-03-12T00:00:00.000Z",17,19,0,25,30,26
"620322","LEG4_John_Moolenaar","2018-03-13T00:00:00.000Z",12,19,0,18,16,47
"620323","LEG4_John_Moolenaar","2018-03-14T00:00:00.000Z",12,21,0,21,12,46
"620324","LEG4_John_Moolenaar","2018-03-15T00:00:00.000Z",14,19,0,15,24,42
"620325","LEG4_John_Moolenaar","2018-03-16T00:00:00.000Z",12,47,0,19,0,34
"620326","LEG4_John_Moolenaar","2018-03-17T00:00:00.000Z",14,34,0,16,6,44
"620327","LEG4_John_Moolenaar","2018-03-18T00:00:00.000Z",11,31,0,5,15,49
"620328","LEG4_John_Moolenaar","2018-03-19T00:00:00.000Z",5,41,0,12,13,34
"620329","LEG4_John_Moolenaar","2018-03-20T00:00:00.000Z",11,19,18,14,12,38
"620330","LEG4_John_Moolenaar","2018-03-21T00:00:00.000Z",23,23,0,15,22,41
"620331","LEG4_John_Moolenaar","2018-03-22T00:00:00.000Z",16,17,0,40,9,34
"620332","LEG4_John_Moolenaar","2018-03-23T00:00:00.000Z",13,15,0,0,22,63
"620333","LEG4_John_Moolenaar","2018-03-24T00:00:00.000Z",15,20,0,38,9,32
"620334","LEG4_John_Moolenaar","2018-03-25T00:00:00.000Z",6,9,26,0,26,39
"620335","LEG4_John_Moolenaar","2018-03-26T00:00:00.000Z",7,0,0,21,0,79
"620336","LEG4_John_Moolenaar","2018-03-27T00:00:00.000Z",9,0,8,13,52,27
"620337","LEG4_John_Moolenaar","2018-03-28T00:00:00.000Z",11,34,0,18,31,17
