"demographic_id","demographic_label","series_date","total_n","data.Somewhat.Approve","data.Strongly.Approve","data.Somewhat.Disapprove","data.Strongly.Disapprove","data.Don.t.Know...No.Opinion"
"xdemAll","All Respondents","2020-01-09",251,14,11,10,12,53
"xdemAll","All Respondents","2020-01-10",259,18,12,12,9,48
"xdemAll","All Respondents","2020-01-11",256,18,8,9,9,57
"xdemAll","All Respondents","2020-01-12",270,18,5,9,14,53
"xdemAll","All Respondents","2020-01-13",286,16,12,9,8,55
"xdemAll","All Respondents","2020-01-14",295,18,10,10,9,53
"xdemAll","All Respondents","2020-01-15",255,18,11,11,8,52
"xdemAll","All Respondents","2020-01-16",262,23,9,10,9,50
"xdemAll","All Respondents","2020-01-17",239,19,9,11,7,54
"xdemAll","All Respondents","2020-01-18",240,18,8,10,6,58
"xdemAll","All Respondents","2020-01-19",245,17,7,9,5,60
"xdemAll","All Respondents","2020-01-20",304,21,6,8,8,57
"xdemAll","All Respondents","2020-01-21",295,19,11,9,8,54
"xdemAll","All Respondents","2020-01-22",271,20,10,10,9,51
"xdemAll","All Respondents","2020-01-23",272,18,11,8,12,50
"xdemAll","All Respondents","2020-01-24",290,17,15,8,9,51
"xdemAll","All Respondents","2020-01-25",265,18,15,10,9,47
"xdemAll","All Respondents","2020-01-26",254,20,11,6,7,57
"xdemAll","All Respondents","2020-01-27",265,21,10,13,12,44
"xdemAll","All Respondents","2020-01-28",278,18,10,8,12,51
"xdemAll","All Respondents","2020-01-29",284,18,11,7,12,52
"xdemAll","All Respondents","2020-01-30",277,21,11,8,13,47
"xdemAll","All Respondents","2020-01-31",236,20,14,8,16,42
"xdemAll","All Respondents","2020-02-01",247,15,14,8,15,48
"xdemAll","All Respondents","2020-02-02",243,21,14,8,12,45
"xdemAll","All Respondents","2020-02-03",261,24,12,11,13,41
"xdemAll","All Respondents","2020-02-04",254,21,9,9,16,46
"xdemAll","All Respondents","2020-02-05",297,17,12,7,13,51
"xdemAll","All Respondents","2020-02-06",247,18,10,8,13,51
"xdemAll","All Respondents","2020-02-07",231,21,13,9,13,44
"xdemAll","All Respondents","2020-02-08",290,20,13,9,13,45
"xdemAll","All Respondents","2020-02-09",275,23,11,7,10,49
"xdemAll","All Respondents","2020-02-10",294,17,14,12,13,45
"xdemAll","All Respondents","2020-02-11",257,23,15,8,14,41
"xdemAll","All Respondents","2020-02-12",249,23,16,7,11,43
"xdemAll","All Respondents","2020-02-13",266,21,15,5,15,44
