"","party","n3","chNow_COVID","Sep6_20","days30","days60","days90","days120","d240_preCOVID","days360","mean_N"
"536",NA,"Gov. Ron DeSantis  (FL)",-36.1607264434293,-2.15728140741297,-3.27716170181924,10.9038846043987,22.535,22.8144738811555,34.0034450360163,35.5220974677496,15387.8929765886
"382","R ","Rep. Steve King  (R - IA)",-29.6840097323601,-18.2360097323601,-31.4207920792079,-37.5296803652968,-18.0794871794872,8.1139896373057,11.448,14.2571428571429,340.036049026676
"217","D ","Rep. Eliot Engel  (D - NY)",-24.6490124281386,-3.57038834951456,-9.9683698296837,-1.10427807486631,12.6513513513514,25.590027700831,21.0786240786241,15.7457627118644,324.073806078148
"560",NA,"Gov. Doug Ducey  (AZ)",-23.8591572982697,-2.84825556956704,-5.35870429252782,4.67019290603609,28.6286386986301,33.8927088140286,21.0109017287027,17.7230402468097,4476.62616154396
"551",NA,"Gov. Brian Kemp  (GA)",-23.7655803997297,2.38837341412611,0.722460937500003,8.83963771976558,10.1679306608884,7.619911176906,26.1539538138558,20.9477195371001,6650.35353535354
"114","R ","Rep. Mario Diaz-Balart  (R - FL)",-23.5800362318841,6.7475,9.02284263959391,28.2168367346939,10.3246073298429,21.7984693877551,30.3275362318841,33.658747300216,296.119186046512
"141","D ","Rep. Ayanna Pressley  (D - MA)",-22.6194165270798,12.9861111111111,10.6021126760563,31.8472727272727,38.6062717770035,31.4933333333333,35.605527638191,18.0921409214092,334.327868852459
"235","R ","Rep. Randy Weber  (R - TX)",-22.0744687255433,5.06122448979592,6.00769230769231,17.6240601503759,20.616,21.8993288590604,27.1356932153392,6.86744186046511,272.904624277457
"286","R ","Rep. Ted Yoho  (R - FL)",-19.4541135226146,2.55322862129145,-0.726050420168072,4.9391771019678,15.3075506445672,14.875,22.007342143906,19.94,475.735821966978
"110","D ","Rep. Ilhan Omar  (D - MN)",-19.4402100284581,5.98032786885246,6.37230769230769,23.7925696594427,10.4354838709677,19.5986842105263,25.4205378973105,33.5728900255754,378.049180327869
"546",NA,"Gov. Kevin Stitt  (OK)",-18.4523504900283,10.7961317302666,13.7259296994396,21.0778851620239,24.5656213704994,25.6982175783651,29.2484822202949,35.0249488752556,2189.89898989899
"454","R ","Rep. Steve Chabot  (R - OH)",-18.4267599618935,-4.13908872901679,13.9723502304147,7.4878640776699,12.8919540229885,18.8301886792453,14.2876712328767,6.06981519507187,342.068965517241
"360","R ","Rep. Scott DesJarlais  (R - TN)",-17.9118134318848,5.34382566585956,11.6075268817204,15.7076167076167,12.8818897637795,13.4698492462312,23.2556390977444,11.6491228070175,378.206599713056
"173","D ","Rep. Donna Shalala  (D - FL)",-17.4868350595903,3.95705521472392,11.688654353562,18.1338797814208,12.0348258706468,22.8171428571429,21.4438902743142,5.7639902676399,386.15763546798
"71","R ","Sen. Lisa Murkowski  (R - AK)",-16.8384729329383,-8.60443037974684,2.31645569620253,0.592307692307699,17.7542087542087,11.1178451178451,8.23404255319149,7.33411764705883,290.740740740741
"36","R ","Sen. David Perdue  (R - GA)",-16.6824072566149,5.20128763491763,4.73867187499999,11.3093589060558,13.0783676417479,15.1045521835677,21.8836948915325,17.6359428182437,4963.5525375268
"547",NA,"Gov. Henry McMaster  (SC)",-16.5806904711733,7.51039426523297,5.92998204667864,20.3769148557178,32.6029671494172,26.123141441098,24.0910847364063,24.8462934162779,2688.53503184713
"28","R ","Sen. Lindsey Graham  (R - SC)",-16.4398732906154,-3.93476702508961,-0.0789946140035909,3.78660491628072,18.4860473330979,13.8787647731605,12.5051062655258,14.0373250388802,2511.17519826965
"539",NA,"Gov. Gregory Abbott  (TX)",-16.1282889860362,15.2705169841131,8.84337454292181,19.3676691066232,31.3143266989421,35.6775290450553,31.3988059701493,30.0652085864723,9931.67262330236
"290","D ","Rep. Veronica Escobar  (D - TX)",-15.9136217948718,10.28125,14.4830769230769,26.2818428184282,24.4334203655352,21.0893470790378,26.1948717948718,8.28165374677003,387.487684729064
"410","D ","Rep. Lizzie Fletcher  (D - TX)",-15.7191772355312,-1.02158273381295,-1.72115384615384,0.69009584664537,11.633064516129,22.5232974910394,14.6975945017182,-1.59710144927536,311.625615763547
"291","R ","Rep. Mark Amodei  (R - NV)",-15.196417726841,0.684454756380518,11.0283018867925,15.0576131687243,13.3424036281179,19.8064516129032,15.8808724832215,16.4133790737564,404.588744588745
"342","D ","Rep. Jim Cooper  (D - TN)",-14.9304666625241,6.54887218045113,9.76023391812865,8.04427083333333,26.7455089820359,26.1432506887052,21.4793388429752,14.1295843520782,324.689306358382
"512","R ","Rep. Scott Tipton  (R - CO)",-14.6482860187679,-11.2235872235872,-9.69784172661871,-9.19318181818182,-0.386255924170619,0.118040089086861,3.42469879518072,-7.50334448160535,458.614718614719
"186","R ","Rep. Austin Scott  (R - GA)",-14.5900497880312,13.7233560090703,22.4009661835749,27.4160756501182,29.7875647668394,24.4042553191489,28.3134057971014,23.5274542429285,375.637149028078
"573",NA,"Gov. Kim Reynolds  (IA)",-14.3301565149802,-9.171875,-9.54122621564482,-4.24276315789474,-0.00347222222222143,4.90203193033382,5.15828151498021,2.64049586776859,1475.65552699229
"132","R ","Rep. Doug Collins  (R - GA)",-14.3072811391097,18.4146341463415,23.9385474860335,30.6840909090909,36.7824933687003,19.7799442896936,32.7219152854512,26.9518072289157,371.457286432161
"494","R ","Rep. Richard Hudson  (R - NC)",-14.1381183777859,-6.74159663865546,3.35845213849287,1.64220183486238,11.7990543735225,15.8558758314856,7.39652173913043,1.14197530864197,405.797413793103
"276","R ","Rep. Will Hurd  (R - TX)",-13.9966914805624,9.7948717948718,-1.43464052287582,17.0729166666667,12.1072386058981,26.0634920634921,23.7915632754342,11.8735362997658,293.894967177243
"133","R ","Rep. Louie Gohmert  (R - TX)",-13.9644214620348,14.3148148148148,15.2333333333333,26.9969418960245,24.4817275747508,27.1818181818182,28.2792362768496,29.0064239828694,320.518358531318
"288","R ","Rep. Steve Womack  (R - AR)",-13.7678790669122,4.51388888888889,18.0231958762887,18.2058823529412,17.4961439588689,19.059880239521,18.2817679558011,16.5017543859649,398.663793103448
"225","D ","Rep. Alan Lowenthal  (D - CA)",-13.3896740390702,2.47493403693931,15.0276073619632,20.3172804532578,18.9270833333333,17.7539267015707,15.8646080760095,13.6247544204322,315.43795620438
